,CustomerID,Recency,Frequency,Monetary
0,12346.0,325,1,77183.6
1,12747.0,2,10,3837.4500000000016
2,12748.0,0,196,31217.940000000395
3,12749.0,3,5,4090.880000000001
4,12820.0,3,4,942.3399999999999
5,12821.0,214,1,92.72
6,12822.0,70,2,948.8799999999999
7,12823.0,74,5,1759.5
8,12824.0,59,1,397.11999999999995
9,12826.0,2,7,1474.7199999999993
10,12827.0,5,3,430.15
11,12828.0,2,6,1018.7100000000003
12,12829.0,336,2,293.0
13,12830.0,37,6,6814.640000000001
14,12831.0,262,1,215.05
15,12832.0,32,2,383.03000000000003
16,12833.0,145,1,417.37999999999994
17,12834.0,282,1,312.38
18,12836.0,59,4,2610.3599999999988
19,12837.0,173,1,134.1
20,12838.0,33,1,281.15999999999997
21,12839.0,2,13,5188.810000000005
22,12840.0,143,4,2726.769999999999
23,12841.0,4,23,3485.5899999999983
24,12842.0,70,2,1118.99
25,12843.0,65,8,1702.26
26,12844.0,29,2,325.9599999999999
27,12845.0,267,4,354.09000000000003
28,12847.0,22,1,843.6399999999999
29,12849.0,31,2,1010.2899999999998
30,12851.0,96,1,131.80999999999997
31,12852.0,294,1,311.54999999999995
32,12853.0,134,6,1957.1
33,12854.0,78,3,1316.2500000000007
34,12856.0,7,6,2170.780000000001
35,12857.0,210,2,1106.4000000000003
36,12863.0,52,1,521.2
37,12864.0,138,1,147.12
38,12867.0,26,7,4009.339999999996
39,12868.0,185,5,1403.7600000000004
40,12871.0,84,2,380.64000000000004
41,12872.0,326,2,599.9699999999998
42,12873.0,282,1,374.0
43,12875.0,143,2,343.2300000000001
44,12877.0,3,12,1535.7700000000007
45,12878.0,236,2,854.9899999999999
46,12879.0,44,3,573.22
47,12881.0,275,1,298.0
48,12882.0,9,2,1463.0399999999995
49,12883.0,24,4,703.4700000000001
50,12884.0,88,1,309.05000000000007
51,12885.0,63,3,1175.2199999999996
52,12886.0,67,2,1378.4
53,12888.0,214,2,354.12
54,12890.0,24,1,376.7199999999999
55,12891.0,185,3,331.0
56,12893.0,30,1,176.55
57,12895.0,42,2,372.79999999999995
